Monat und Jahr;Ausfuhr: Wert in Tsd. EUR
Apr 19;75919706.0
Apr 20;80578119.0
Apr 21;91242678.0
Apr 22;95965247.0
Aug 19;98062559.0
Aug 20;98174503.0
Aug 21;101211694.0
Aug 22;101617007.0
Dez 19;102776871.0
Dez 20;103835793.0
Dez 21;106163613.0
Dez 22;106611342.0
Feb 19;107263064.0
Feb 20;108836771.0
Feb 21;108899538.0
Feb 22;109137231.0
Feb 23;109270787.0
Jan 19;109813044.0
Jan 20;109942262.0
Jan 21;109975423.0
Jan 22;112079140.0
Jan 23;112193388.0
Jul 19;112236936.0
Jul 20;113243512.0
Jul 21;114148223.0
Jul 22;114248805.0
Jun 19;114791223.0
Jun 20;114974339.0
Jun 21;115871730.0
Jun 22;116538420.0
Mai 19;117676990.0
Mai 20;118219120.0
Mai 21;118512761.0
Mai 22;119762654.0
Mrz 19;120549652.0
Mrz 20;123225041.0
Mrz 21;124118447.0
Mrz 22;125311805.0
Nov 19;125392611.0
Nov 20;127359550.0
Nov 21;128947213.0
Nov 22;129232494.0
Okt 19;129691536.0
Okt 20;132058048.0
Okt 21;135669767.0
Okt 22;137427872.0
Sep 19;137798988.0
Sep 20;142995326.0
Sep 21;145574713.0
Sep 22;146676479.0
