Monat und Jahr;Ausfuhr: Wert in Tsd. EUR
Jan 19;108899538.0
Feb 19;108836771.0
Mrz 19;118219120.0
Apr 19;109975423.0
Mai 19;114248805.0
Jun 19;106163613.0
Jul 19;114974339.0
Aug 19;101617007.0
Sep 19;114148223.0
Okt 19;119762654.0
Nov 19;113243512.0
Dez 19;98062559.0
Jan 20;106611342.0
Feb 20;109137231.0
Mrz 20;109270787.0
Apr 20;75919706.0
Mai 20;80578119.0
Jun 20;95965247.0
Jul 20;102776871.0
Aug 20;91242678.0
Sep 20;109942262.0
Okt 20;112193388.0
Nov 20;112079140.0
Dez 20;101211694.0
Jan 21;98174503.0
Feb 21;107263064.0
Mrz 21;127359550.0
Apr 21;112236936.0
Mai 21;109813044.0
Jun 21;118512761.0
Jul 21;114791223.0
Aug 21;103835793.0
Sep 21;117676990.0
Okt 21;120549652.0
Nov 21;125311805.0
Dez 21;115871730.0
Jan 22;116538420.0
Feb 22;124118447.0
Mrz 22;142995326.0
Apr 22;123225041.0
Mai 22;137427872.0
Jun 22;137798988.0
Jul 22;129232494.0
Aug 22;129691536.0
Sep 22;146676479.0
Okt 22;135669767.0
Nov 22;145574713.0
Dez 22;125392611.0
Jan 23;128947213.0
Feb 23;132058048.0
